day,program,semester,period,time_start,time_end,lab_name,lab_block_length,prev_is_lab,next_is_lab,lab_occupied,week
Friday,cse_g2,4.0,7,15:30,16:20,Test Lab,2,1,1,1,1
Friday,cse_g2,4.0,8,16:20,17:10,Test Lab,2,1,0,1,1
Monday,,,1,08:30,09:20,Test Lab,0,0,0,0,2
Monday,,,2,09:20,10:10,Test Lab,0,0,1,0,2
Monday,cse_g1,6.0,3,10:30,11:20,Test Lab,2,0,1,1,2
Monday,cse_g1,6.0,4,11:20,12:10,Test Lab,2,1,1,1,2
Monday,cse_g2,2.0,5,13:40,14:30,Test Lab,2,1,1,1,2
Monday,cse_g2,2.0,6,14:30,15:20,Test Lab,2,1,0,1,2
Monday,,,7,15:30,16:20,Test Lab,0,1,0,0,2
Monday,,,8,16:20,17:10,Test Lab,0,0,0,0,2
Tuesday,cse_g1,4.0,1,08:30,09:20,Test Lab,4,0,1,1,2
Tuesday,cse_g1,4.0,2,09:20,10:10,Test Lab,4,1,1,1,2
Tuesday,cse_g1,4.0,3,10:30,11:20,Test Lab,4,1,1,1,2
Tuesday,cse_g1,4.0,4,11:20,12:10,Test Lab,4,1,1,1,2
Tuesday,cse_aiml,6.0,5,13:40,14:30,Test Lab,4,1,1,1,2
Tuesday,cse_aiml,6.0,6,14:30,15:20,Test Lab,4,1,1,1,2
Tuesday,cse_aiml,6.0,7,15:30,16:20,Test Lab,4,1,1,1,2
Tuesday,cse_aiml,6.0,8,16:20,17:10,Test Lab,4,1,0,1,2
Wednesday,,,1,08:30,09:20,Test Lab,0,0,1,0,2
Wednesday,cse_g2,6.0,2,09:20,10:10,Test Lab,2,0,1,0,2
Wednesday,cse_g2,6.0,3,10:30,11:20,Test Lab,2,1,0,1,2
Wednesday,,,4,11:20,12:10,Test Lab,0,1,1,0,2
Wednesday,cse_g1,2.0,5,13:40,14:30,Test Lab,2,0,1,1,2
Wednesday,cse_g1,2.0,6,14:30,15:20,Test Lab,2,1,1,1,2
Wednesday,cse_g1,8.0,7,15:30,16:20,Test Lab,2,1,1,1,2
Wednesday,cse_g1,8.0,8,16:20,17:10,Test Lab,2,1,0,0,2
Thursday,,,1,08:30,09:20,Test Lab,0,0,0,0,2
Thursday,,,2,09:20,10:10,Test Lab,0,0,1,0,2
Thursday,cse_g2,8.0,3,10:30,11:20,Test Lab,2,0,1,1,2
Thursday,cse_g2,8.0,4,11:20,12:10,Test Lab,2,1,1,1,2
Thursday,cse_g1,6.0,5,13:40,14:30,Test Lab,4,1,1,1,2
Thursday,cse_g1,6.0,6,14:30,15:20,Test Lab,4,1,1,1,2
Thursday,cse_g1,6.0,7,15:30,16:20,Test Lab,4,1,1,1,2
Thursday,cse_g1,6.0,8,16:20,17:10,Test Lab,4,1,0,1,2
Friday,cse_aiml,6.0,1,08:30,09:20,Test Lab,4,0,1,1,2
Friday,cse_aiml,6.0,2,09:20,10:10,Test Lab,4,1,1,1,2
Friday,cse_aiml,6.0,3,10:30,11:20,Test Lab,4,1,1,1,2
Friday,cse_aiml,6.0,4,11:20,12:10,Test Lab,4,1,1,1,2
Friday,cse_g1,6.0,5,13:40,14:30,Test Lab,2,1,1,0,2
Friday,cse_g1,6.0,6,14:30,15:20,Test Lab,2,1,1,1,2
Friday,cse_g2,4.0,7,15:30,16:20,Test Lab,2,1,1,1,2
Friday,cse_g2,4.0,8,16:20,17:10,Test Lab,2,1,0,1,2
Monday,,,1,08:30,09:20,Test Lab,0,0,0,0,3
Monday,,,2,09:20,10:10,Test Lab,0,0,1,0,3
Monday,cse_g1,6.0,3,10:30,11:20,Test Lab,2,0,1,1,3
Monday,cse_g1,6.0,4,11:20,12:10,Test Lab,2,1,1,1,3
Monday,cse_g2,2.0,5,13:40,14:30,Test Lab,2,1,1,1,3
Monday,cse_g2,2.0,6,14:30,15:20,Test Lab,2,1,0,0,3
Monday,,,7,15:30,16:20,Test Lab,0,1,0,0,3
Monday,,,8,16:20,17:10,Test Lab,0,0,0,0,3
Tuesday,cse_g1,4.0,1,08:30,09:20,Test Lab,4,0,1,1,3
Tuesday,cse_g1,4.0,2,09:20,10:10,Test Lab,4,1,1,1,3
Tuesday,cse_g1,4.0,3,10:30,11:20,Test Lab,4,1,1,1,3
Tuesday,cse_g1,4.0,4,11:20,12:10,Test Lab,4,1,1,1,3
Tuesday,cse_aiml,6.0,5,13:40,14:30,Test Lab,4,1,1,1,3
Tuesday,cse_aiml,6.0,6,14:30,15:20,Test Lab,4,1,1,1,3
Tuesday,cse_aiml,6.0,7,15:30,16:20,Test Lab,4,1,1,1,3
Tuesday,cse_aiml,6.0,8,16:20,17:10,Test Lab,4,1,0,1,3
Wednesday,,,1,08:30,09:20,Test Lab,0,0,1,0,3
Wednesday,cse_g2,6.0,2,09:20,10:10,Test Lab,2,0,1,1,3
Wednesday,cse_g2,6.0,3,10:30,11:20,Test Lab,2,1,0,1,3
Wednesday,,,4,11:20,12:10,Test Lab,0,1,1,0,3
Wednesday,cse_g1,2.0,5,13:40,14:30,Test Lab,2,0,1,1,3
Wednesday,cse_g1,2.0,6,14:30,15:20,Test Lab,2,1,1,1,3
Wednesday,cse_g1,8.0,7,15:30,16:20,Test Lab,2,1,1,1,3
Wednesday,cse_g1,8.0,8,16:20,17:10,Test Lab,2,1,0,1,3
Thursday,,,1,08:30,09:20,Test Lab,0,0,0,0,3
Thursday,,,2,09:20,10:10,Test Lab,0,0,1,0,3
Thursday,cse_g2,8.0,3,10:30,11:20,Test Lab,2,0,1,1,3
Thursday,cse_g2,8.0,4,11:20,12:10,Test Lab,2,1,1,1,3
Thursday,cse_g1,6.0,5,13:40,14:30,Test Lab,4,1,1,1,3
Thursday,cse_g1,6.0,6,14:30,15:20,Test Lab,4,1,1,1,3
Thursday,cse_g1,6.0,7,15:30,16:20,Test Lab,4,1,1,1,3
Thursday,cse_g1,6.0,8,16:20,17:10,Test Lab,4,1,0,1,3
Friday,cse_aiml,6.0,1,08:30,09:20,Test Lab,4,0,1,1,3
Friday,cse_aiml,6.0,2,09:20,10:10,Test Lab,4,1,1,0,3
Friday,cse_aiml,6.0,3,10:30,11:20,Test Lab,4,1,1,1,3
Friday,cse_aiml,6.0,4,11:20,12:10,Test Lab,4,1,1,1,3
Friday,cse_g1,6.0,5,13:40,14:30,Test Lab,2,1,1,1,3
Friday,cse_g1,6.0,6,14:30,15:20,Test Lab,2,1,1,1,3
Friday,cse_g2,4.0,7,15:30,16:20,Test Lab,2,1,1,1,3
Friday,cse_g2,4.0,8,16:20,17:10,Test Lab,2,1,0,1,3
Monday,,,1,08:30,09:20,Test Lab,0,0,0,0,4
Monday,,,2,09:20,10:10,Test Lab,0,0,1,0,4
Monday,cse_g1,6.0,3,10:30,11:20,Test Lab,2,0,1,1,4
Monday,cse_g1,6.0,4,11:20,12:10,Test Lab,2,1,1,1,4
Monday,cse_g2,2.0,5,13:40,14:30,Test Lab,2,1,1,1,4
Monday,cse_g2,2.0,6,14:30,15:20,Test Lab,2,1,0,0,4
Monday,,,7,15:30,16:20,Test Lab,0,1,0,0,4
Monday,,,8,16:20,17:10,Test Lab,0,0,0,0,4
Tuesday,cse_g1,4.0,1,08:30,09:20,Test Lab,4,0,1,1,4
Tuesday,cse_g1,4.0,2,09:20,10:10,Test Lab,4,1,1,1,4
Tuesday,cse_g1,4.0,3,10:30,11:20,Test Lab,4,1,1,1,4
Tuesday,cse_g1,4.0,4,11:20,12:10,Test Lab,4,1,1,1,4
Tuesday,cse_aiml,6.0,5,13:40,14:30,Test Lab,4,1,1,1,4
Tuesday,cse_aiml,6.0,6,14:30,15:20,Test Lab,4,1,1,1,4
Tuesday,cse_aiml,6.0,7,15:30,16:20,Test Lab,4,1,1,1,4
Tuesday,cse_aiml,6.0,8,16:20,17:10,Test Lab,4,1,0,1,4
Wednesday,,,1,08:30,09:20,Test Lab,0,0,1,1,4
Wednesday,cse_g2,6.0,2,09:20,10:10,Test Lab,2,0,1,1,4
Wednesday,cse_g2,6.0,3,10:30,11:20,Test Lab,2,1,0,1,4
Wednesday,,,4,11:20,12:10,Test Lab,0,1,1,1,4
Wednesday,cse_g1,2.0,5,13:40,14:30,Test Lab,2,0,1,1,4
Wednesday,cse_g1,2.0,6,14:30,15:20,Test Lab,2,1,1,1,4
Wednesday,cse_g1,8.0,7,15:30,16:20,Test Lab,2,1,1,1,4
Wednesday,cse_g1,8.0,8,16:20,17:10,Test Lab,2,1,0,1,4
Thursday,,,1,08:30,09:20,Test Lab,0,0,0,0,4
Thursday,,,2,09:20,10:10,Test Lab,0,0,1,0,4
Thursday,cse_g2,8.0,3,10:30,11:20,Test Lab,2,0,1,1,4
Thursday,cse_g2,8.0,4,11:20,12:10,Test Lab,2,1,1,1,4
Thursday,cse_g1,6.0,5,13:40,14:30,Test Lab,4,1,1,0,4
Thursday,cse_g1,6.0,6,14:30,15:20,Test Lab,4,1,1,1,4
Thursday,cse_g1,6.0,7,15:30,16:20,Test Lab,4,1,1,1,4
Thursday,cse_g1,6.0,8,16:20,17:10,Test Lab,4,1,0,1,4
Friday,cse_aiml,6.0,1,08:30,09:20,Test Lab,4,0,1,1,4
Friday,cse_aiml,6.0,2,09:20,10:10,Test Lab,4,1,1,0,4
Friday,cse_aiml,6.0,3,10:30,11:20,Test Lab,4,1,1,1,4
Friday,cse_aiml,6.0,4,11:20,12:10,Test Lab,4,1,1,1,4
Friday,cse_g1,6.0,5,13:40,14:30,Test Lab,2,1,1,1,4
Friday,cse_g1,6.0,6,14:30,15:20,Test Lab,2,1,1,1,4
Friday,cse_g2,4.0,7,15:30,16:20,Test Lab,2,1,1,1,4
Friday,cse_g2,4.0,8,16:20,17:10,Test Lab,2,1,0,0,4
Monday,,,1,08:30,09:20,Test Lab,0,0,0,0,5
Monday,,,2,09:20,10:10,Test Lab,0,0,1,0,5
Monday,cse_g1,6.0,3,10:30,11:20,Test Lab,2,0,1,1,5
Monday,cse_g1,6.0,4,11:20,12:10,Test Lab,2,1,1,1,5
Monday,cse_g2,2.0,5,13:40,14:30,Test Lab,2,1,1,1,5
Monday,cse_g2,2.0,6,14:30,15:20,Test Lab,2,1,0,1,5
Monday,,,7,15:30,16:20,Test Lab,0,1,0,0,5
Monday,,,8,16:20,17:10,Test Lab,0,0,0,0,5
Tuesday,cse_g1,4.0,1,08:30,09:20,Test Lab,4,0,1,1,5
Tuesday,cse_g1,4.0,2,09:20,10:10,Test Lab,4,1,1,0,5
Tuesday,cse_g1,4.0,3,10:30,11:20,Test Lab,4,1,1,1,5
Tuesday,cse_g1,4.0,4,11:20,12:10,Test Lab,4,1,1,1,5
Tuesday,cse_aiml,6.0,5,13:40,14:30,Test Lab,4,1,1,1,5
Tuesday,cse_aiml,6.0,6,14:30,15:20,Test Lab,4,1,1,1,5
Tuesday,cse_aiml,6.0,7,15:30,16:20,Test Lab,4,1,1,0,5
Tuesday,cse_aiml,6.0,8,16:20,17:10,Test Lab,4,1,0,1,5
Wednesday,,,1,08:30,09:20,Test Lab,0,0,1,0,5
Wednesday,cse_g2,6.0,2,09:20,10:10,Test Lab,2,0,1,0,5
Wednesday,cse_g2,6.0,3,10:30,11:20,Test Lab,2,1,0,1,5
Wednesday,,,4,11:20,12:10,Test Lab,0,1,1,0,5
Wednesday,cse_g1,2.0,5,13:40,14:30,Test Lab,2,0,1,1,5
Wednesday,cse_g1,2.0,6,14:30,15:20,Test Lab,2,1,1,1,5
Wednesday,cse_g1,8.0,7,15:30,16:20,Test Lab,2,1,1,1,5
Wednesday,cse_g1,8.0,8,16:20,17:10,Test Lab,2,1,0,1,5
Thursday,,,1,08:30,09:20,Test Lab,0,0,0,0,5
Thursday,,,2,09:20,10:10,Test Lab,0,0,1,0,5
Thursday,cse_g2,8.0,3,10:30,11:20,Test Lab,2,0,1,1,5
Thursday,cse_g2,8.0,4,11:20,12:10,Test Lab,2,1,1,1,5
Thursday,cse_g1,6.0,5,13:40,14:30,Test Lab,4,1,1,0,5
Thursday,cse_g1,6.0,6,14:30,15:20,Test Lab,4,1,1,1,5
Thursday,cse_g1,6.0,7,15:30,16:20,Test Lab,4,1,1,1,5
Thursday,cse_g1,6.0,8,16:20,17:10,Test Lab,4,1,0,1,5
Friday,cse_aiml,6.0,1,08:30,09:20,Test Lab,4,0,1,1,5
Friday,cse_aiml,6.0,2,09:20,10:10,Test Lab,4,1,1,1,5
Friday,cse_aiml,6.0,3,10:30,11:20,Test Lab,4,1,1,1,5
Friday,cse_aiml,6.0,4,11:20,12:10,Test Lab,4,1,1,1,5
Friday,cse_g1,6.0,5,13:40,14:30,Test Lab,2,1,1,1,5
Friday,cse_g1,6.0,6,14:30,15:20,Test Lab,2,1,1,1,5
Friday,cse_g2,4.0,7,15:30,16:20,Test Lab,2,1,1,1,5
Friday,cse_g2,4.0,8,16:20,17:10,Test Lab,2,1,0,1,5
Monday,,,1,08:30,09:20,Test Lab,0,0,0,0,6
Monday,,,2,09:20,10:10,Test Lab,0,0,1,1,6
Monday,cse_g1,6.0,3,10:30,11:20,Test Lab,2,0,1,1,6
Monday,cse_g1,6.0,4,11:20,12:10,Test Lab,2,1,1,1,6
Monday,cse_g2,2.0,5,13:40,14:30,Test Lab,2,1,1,1,6
Monday,cse_g2,2.0,6,14:30,15:20,Test Lab,2,1,0,1,6
Monday,,,7,15:30,16:20,Test Lab,0,1,0,0,6
Monday,,,8,16:20,17:10,Test Lab,0,0,0,0,6
Tuesday,cse_g1,4.0,1,08:30,09:20,Test Lab,4,0,1,1,6
Tuesday,cse_g1,4.0,2,09:20,10:10,Test Lab,4,1,1,1,6
Tuesday,cse_g1,4.0,3,10:30,11:20,Test Lab,4,1,1,1,6
Tuesday,cse_g1,4.0,4,11:20,12:10,Test Lab,4,1,1,1,6
Tuesday,cse_aiml,6.0,5,13:40,14:30,Test Lab,4,1,1,1,6
Tuesday,cse_aiml,6.0,6,14:30,15:20,Test Lab,4,1,1,0,6
Tuesday,cse_aiml,6.0,7,15:30,16:20,Test Lab,4,1,1,1,6
Tuesday,cse_aiml,6.0,8,16:20,17:10,Test Lab,4,1,0,1,6
Wednesday,,,1,08:30,09:20,Test Lab,0,0,1,0,6
Wednesday,cse_g2,6.0,2,09:20,10:10,Test Lab,2,0,1,1,6
Wednesday,cse_g2,6.0,3,10:30,11:20,Test Lab,2,1,0,1,6
Wednesday,,,4,11:20,12:10,Test Lab,0,1,1,0,6
Wednesday,cse_g1,2.0,5,13:40,14:30,Test Lab,2,0,1,1,6
Wednesday,cse_g1,2.0,6,14:30,15:20,Test Lab,2,1,1,1,6
Wednesday,cse_g1,8.0,7,15:30,16:20,Test Lab,2,1,1,1,6
Wednesday,cse_g1,8.0,8,16:20,17:10,Test Lab,2,1,0,1,6
Thursday,,,1,08:30,09:20,Test Lab,0,0,0,0,6
Thursday,,,2,09:20,10:10,Test Lab,0,0,1,0,6
Thursday,cse_g2,8.0,3,10:30,11:20,Test Lab,2,0,1,1,6
Thursday,cse_g2,8.0,4,11:20,12:10,Test Lab,2,1,1,1,6
Thursday,cse_g1,6.0,5,13:40,14:30,Test Lab,4,1,1,1,6
Thursday,cse_g1,6.0,6,14:30,15:20,Test Lab,4,1,1,1,6
Thursday,cse_g1,6.0,7,15:30,16:20,Test Lab,4,1,1,1,6
Thursday,cse_g1,6.0,8,16:20,17:10,Test Lab,4,1,0,1,6
Friday,cse_aiml,6.0,1,08:30,09:20,Test Lab,4,0,1,1,6
Friday,cse_aiml,6.0,2,09:20,10:10,Test Lab,4,1,1,1,6
Friday,cse_aiml,6.0,3,10:30,11:20,Test Lab,4,1,1,1,6
Friday,cse_aiml,6.0,4,11:20,12:10,Test Lab,4,1,1,1,6
Friday,cse_g1,6.0,5,13:40,14:30,Test Lab,2,1,1,1,6
Friday,cse_g1,6.0,6,14:30,15:20,Test Lab,2,1,1,1,6
Friday,cse_g2,4.0,7,15:30,16:20,Test Lab,2,1,1,1,6
Friday,cse_g2,4.0,8,16:20,17:10,Test Lab,2,1,0,1,6
Monday,,,1,08:30,09:20,Test Lab,0,0,0,0,7
Monday,,,2,09:20,10:10,Test Lab,0,0,1,1,7
Monday,cse_g1,6.0,3,10:30,11:20,Test Lab,2,0,1,1,7
Monday,cse_g1,6.0,4,11:20,12:10,Test Lab,2,1,1,0,7
Monday,cse_g2,2.0,5,13:40,14:30,Test Lab,2,1,1,1,7
Monday,cse_g2,2.0,6,14:30,15:20,Test Lab,2,1,0,1,7
Monday,,,7,15:30,16:20,Test Lab,0,1,0,0,7
Monday,,,8,16:20,17:10,Test Lab,0,0,0,0,7
Tuesday,cse_g1,4.0,1,08:30,09:20,Test Lab,4,0,1,1,7
Tuesday,cse_g1,4.0,2,09:20,10:10,Test Lab,4,1,1,1,7
Tuesday,cse_g1,4.0,3,10:30,11:20,Test Lab,4,1,1,1,7
Tuesday,cse_g1,4.0,4,11:20,12:10,Test Lab,4,1,1,1,7
Tuesday,cse_aiml,6.0,5,13:40,14:30,Test Lab,4,1,1,1,7
Tuesday,cse_aiml,6.0,6,14:30,15:20,Test Lab,4,1,1,1,7
Tuesday,cse_aiml,6.0,7,15:30,16:20,Test Lab,4,1,1,0,7
Tuesday,cse_aiml,6.0,8,16:20,17:10,Test Lab,4,1,0,1,7
Wednesday,,,1,08:30,09:20,Test Lab,0,0,1,0,7
Wednesday,cse_g2,6.0,2,09:20,10:10,Test Lab,2,0,1,1,7
Wednesday,cse_g2,6.0,3,10:30,11:20,Test Lab,2,1,0,1,7
Wednesday,,,4,11:20,12:10,Test Lab,0,1,1,0,7
Wednesday,cse_g1,2.0,5,13:40,14:30,Test Lab,2,0,1,1,7
Wednesday,cse_g1,2.0,6,14:30,15:20,Test Lab,2,1,1,1,7
Wednesday,cse_g1,8.0,7,15:30,16:20,Test Lab,2,1,1,1,7
Wednesday,cse_g1,8.0,8,16:20,17:10,Test Lab,2,1,0,1,7
Thursday,,,1,08:30,09:20,Test Lab,0,0,0,0,7
Thursday,,,2,09:20,10:10,Test Lab,0,0,1,0,7
Thursday,cse_g2,8.0,3,10:30,11:20,Test Lab,2,0,1,1,7
Thursday,cse_g2,8.0,4,11:20,12:10,Test Lab,2,1,1,1,7
Thursday,cse_g1,6.0,5,13:40,14:30,Test Lab,4,1,1,1,7
Thursday,cse_g1,6.0,6,14:30,15:20,Test Lab,4,1,1,1,7
Thursday,cse_g1,6.0,7,15:30,16:20,Test Lab,4,1,1,1,7
Thursday,cse_g1,6.0,8,16:20,17:10,Test Lab,4,1,0,1,7
Friday,cse_aiml,6.0,1,08:30,09:20,Test Lab,4,0,1,1,7
Friday,cse_aiml,6.0,2,09:20,10:10,Test Lab,4,1,1,1,7
Friday,cse_aiml,6.0,3,10:30,11:20,Test Lab,4,1,1,1,7
Friday,cse_aiml,6.0,4,11:20,12:10,Test Lab,4,1,1,1,7
Friday,cse_g1,6.0,5,13:40,14:30,Test Lab,2,1,1,1,7
Friday,cse_g1,6.0,6,14:30,15:20,Test Lab,2,1,1,1,7
Friday,cse_g2,4.0,7,15:30,16:20,Test Lab,2,1,1,1,7
Friday,cse_g2,4.0,8,16:20,17:10,Test Lab,2,1,0,1,7
Monday,,,1,08:30,09:20,Test Lab,0,0,0,0,8
Monday,,,2,09:20,10:10,Test Lab,0,0,1,0,8
Monday,cse_g1,6.0,3,10:30,11:20,Test Lab,2,0,1,1,8
Monday,cse_g1,6.0,4,11:20,12:10,Test Lab,2,1,1,1,8
Monday,cse_g2,2.0,5,13:40,14:30,Test Lab,2,1,1,1,8
Monday,cse_g2,2.0,6,14:30,15:20,Test Lab,2,1,0,0,8
Monday,,,7,15:30,16:20,Test Lab,0,1,0,0,8
Monday,,,8,16:20,17:10,Test Lab,0,0,0,0,8
Tuesday,cse_g1,4.0,1,08:30,09:20,Test Lab,4,0,1,1,8
Tuesday,cse_g1,4.0,2,09:20,10:10,Test Lab,4,1,1,1,8
Tuesday,cse_g1,4.0,3,10:30,11:20,Test Lab,4,1,1,0,8
Tuesday,cse_g1,4.0,4,11:20,12:10,Test Lab,4,1,1,1,8
Tuesday,cse_aiml,6.0,5,13:40,14:30,Test Lab,4,1,1,1,8
Tuesday,cse_aiml,6.0,6,14:30,15:20,Test Lab,4,1,1,1,8
Tuesday,cse_aiml,6.0,7,15:30,16:20,Test Lab,4,1,1,1,8
Tuesday,cse_aiml,6.0,8,16:20,17:10,Test Lab,4,1,0,1,8
Wednesday,,,1,08:30,09:20,Test Lab,0,0,1,0,8
Wednesday,cse_g2,6.0,2,09:20,10:10,Test Lab,2,0,1,1,8
Wednesday,cse_g2,6.0,3,10:30,11:20,Test Lab,2,1,0,1,8
Wednesday,,,4,11:20,12:10,Test Lab,0,1,1,0,8
Wednesday,cse_g1,2.0,5,13:40,14:30,Test Lab,2,0,1,1,8
Wednesday,cse_g1,2.0,6,14:30,15:20,Test Lab,2,1,1,0,8
Wednesday,cse_g1,8.0,7,15:30,16:20,Test Lab,2,1,1,1,8
Wednesday,cse_g1,8.0,8,16:20,17:10,Test Lab,2,1,0,1,8
Thursday,,,1,08:30,09:20,Test Lab,0,0,0,0,8
Thursday,,,2,09:20,10:10,Test Lab,0,0,1,0,8
Thursday,cse_g2,8.0,3,10:30,11:20,Test Lab,2,0,1,1,8
Thursday,cse_g2,8.0,4,11:20,12:10,Test Lab,2,1,1,1,8
Thursday,cse_g1,6.0,5,13:40,14:30,Test Lab,4,1,1,1,8
Thursday,cse_g1,6.0,6,14:30,15:20,Test Lab,4,1,1,1,8
Thursday,cse_g1,6.0,7,15:30,16:20,Test Lab,4,1,1,1,8
Thursday,cse_g1,6.0,8,16:20,17:10,Test Lab,4,1,0,1,8
Friday,cse_aiml,6.0,1,08:30,09:20,Test Lab,4,0,1,1,8
Friday,cse_aiml,6.0,2,09:20,10:10,Test Lab,4,1,1,1,8
Friday,cse_aiml,6.0,3,10:30,11:20,Test Lab,4,1,1,1,8
Friday,cse_aiml,6.0,4,11:20,12:10,Test Lab,4,1,1,1,8
Friday,cse_g1,6.0,5,13:40,14:30,Test Lab,2,1,1,1,8
Friday,cse_g1,6.0,6,14:30,15:20,Test Lab,2,1,1,1,8
Friday,cse_g2,4.0,7,15:30,16:20,Test Lab,2,1,1,0,8
Friday,cse_g2,4.0,8,16:20,17:10,Test Lab,2,1,0,1,8
Monday,,,1,08:30,09:20,Test Lab,0,0,0,0,9
Monday,,,2,09:20,10:10,Test Lab,0,0,1,0,9
Monday,cse_g1,6.0,3,10:30,11:20,Test Lab,2,0,1,1,9
Monday,cse_g1,6.0,4,11:20,12:10,Test Lab,2,1,1,1,9
Monday,cse_g2,2.0,5,13:40,14:30,Test Lab,2,1,1,1,9
Monday,cse_g2,2.0,6,14:30,15:20,Test Lab,2,1,0,1,9
Monday,,,7,15:30,16:20,Test Lab,0,1,0,0,9
Monday,,,8,16:20,17:10,Test Lab,0,0,0,0,9
Tuesday,cse_g1,4.0,1,08:30,09:20,Test Lab,4,0,1,1,9
Tuesday,cse_g1,4.0,2,09:20,10:10,Test Lab,4,1,1,1,9
Tuesday,cse_g1,4.0,3,10:30,11:20,Test Lab,4,1,1,1,9
Tuesday,cse_g1,4.0,4,11:20,12:10,Test Lab,4,1,1,1,9
Tuesday,cse_aiml,6.0,5,13:40,14:30,Test Lab,4,1,1,1,9
Tuesday,cse_aiml,6.0,6,14:30,15:20,Test Lab,4,1,1,0,9
Tuesday,cse_aiml,6.0,7,15:30,16:20,Test Lab,4,1,1,1,9
Tuesday,cse_aiml,6.0,8,16:20,17:10,Test Lab,4,1,0,1,9
Wednesday,,,1,08:30,09:20,Test Lab,0,0,1,0,9
Wednesday,cse_g2,6.0,2,09:20,10:10,Test Lab,2,0,1,0,9
Wednesday,cse_g2,6.0,3,10:30,11:20,Test Lab,2,1,0,1,9
Wednesday,,,4,11:20,12:10,Test Lab,0,1,1,0,9
Wednesday,cse_g1,2.0,5,13:40,14:30,Test Lab,2,0,1,1,9
Wednesday,cse_g1,2.0,6,14:30,15:20,Test Lab,2,1,1,1,9
Wednesday,cse_g1,8.0,7,15:30,16:20,Test Lab,2,1,1,1,9
Wednesday,cse_g1,8.0,8,16:20,17:10,Test Lab,2,1,0,1,9
Thursday,,,1,08:30,09:20,Test Lab,0,0,0,0,9
Thursday,,,2,09:20,10:10,Test Lab,0,0,1,0,9
Thursday,cse_g2,8.0,3,10:30,11:20,Test Lab,2,0,1,1,9
Thursday,cse_g2,8.0,4,11:20,12:10,Test Lab,2,1,1,1,9
Thursday,cse_g1,6.0,5,13:40,14:30,Test Lab,4,1,1,1,9
Thursday,cse_g1,6.0,6,14:30,15:20,Test Lab,4,1,1,1,9
Thursday,cse_g1,6.0,7,15:30,16:20,Test Lab,4,1,1,1,9
